,bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
0,road,aluminum,219.21,62.24,19.63,lead acid,317,3.01
1,road,steel,617.81,87.4,26.15,nimh,230,6.67
2,road,steel,608.5,57.26,27.84,li-ion,300,7.29
3,mountain,steel,701.25,56.78,30.16,other,369,9.35
4,road,carbon fiber,584.79,66.15,19.77,li-ion,282,7.81
5,folding,aluminum,506.15,70.52,34.08,li-ion,269,5.76
6,road,carbon fiber,365.08,40.18,26.99,nimh,264,4.92
7,folding,steel,615.71,49.99,24.19,lead acid,238,8.42
8,road,steel,302.05,86.78,23.57,lead acid,271,4.71
9,standard,aluminum,476.44,70.91,22.38,lead acid,271,6.65
10,road,carbon fiber,555.38,55.69,24.05,lead acid,227,6.03
11,folding,aluminum,602.8,53.67,25.0,li-ion,207,7.33
12,mountain,aluminum,207.5,32.68,30.96,li-ion,231,8.2
13,mountain,carbon fiber,229.71,43.54,26.56,lead acid,309,4.97
14,standard,carbon fiber,229.41,57.39,26.31,nimh,270,6.38
15,road,aluminum,719.26,55.62,26.3,nimh,245,6.3
16,mountain,aluminum,456.33,55.46,23.65,lead acid,183,6.12
17,folding,steel,682.64,55.95,21.25,nimh,293,6.4
18,mountain,steel,493.85,78.45,24.25,lead acid,285,6.77
19,standard,carbon fiber,569.48,69.81,21.35,nimh,281,6.64
20,road,steel,391.8,46.31,30.23,nimh,268,6.15
21,folding,carbon fiber,715.66,74.93,19.04,nimh,318,5.44
22,mountain,aluminum,420.91,79.83,34.74,nimh,225,4.98
23,standard,carbon fiber,314.36,69.16,27.98,li-ion,303,5.28
24,folding,carbon fiber,606.7,87.43,25.99,li-ion,312,8.66
25,road,aluminum,548.77,73.58,31.22,nimh,210,5.06
26,folding,aluminum,222.51,71.73,25.23,nimh,302,5.2
27,road,carbon fiber,656.23,51.69,24.37,li-ion,222,5.76
28,road,carbon fiber,451.23,54.3,24.53,li-ion,384,6.9
29,road,steel,597.4,77.09,23.32,lead acid,225,8.16
30,mountain,aluminum,696.75,47.75,30.51,lead acid,239,7.39
31,mountain,aluminum,528.66,45.48,31.77,lead acid,305,6.15
32,mountain,aluminum,272.34,64.46,28.55,lead acid,284,3.91
33,mountain,aluminum,700.95,69.06,26.06,li-ion,345,8.22
34,road,carbon fiber,463.53,45.49,27.88,lead acid,227,8.67
35,folding,aluminum,353.98,100.09,21.66,lead acid,220,6.5
36,standard,carbon fiber,578.49,54.86,15.56,li-ion,256,5.26
37,standard,carbon fiber,529.26,45.7,27.25,lead acid,202,9.29
38,mountain,steel,492.35,55.0,27.55,nimh,188,5.32
39,mountain,carbon fiber,204.8,93.8,23.77,nimh,366,5.07
40,mountain,steel,734.87,86.4,25.0,lead acid,218,5.76
41,standard,aluminum,300.55,58.19,18.0,other,257,5.82
42,road,carbon fiber,573.99,51.91,30.78,lead acid,241,5.71
43,road,aluminum,347.67,92.23,18.15,other,314,6.34
44,standard,steel,752.28,78.3,36.16,lead acid,192,4.71
45,standard,aluminum,505.25,66.74,28.21,nimh,349,9.0
46,standard,steel,620.51,61.07,25.0,lead acid,265,8.42
47,road,aluminum,744.17,58.8,26.42,lead acid,173,6.92
48,mountain,steel,531.97,74.29,23.07,li-ion,330,6.77
49,mountain,carbon fiber,304.75,75.18,20.31,li-ion,346,6.11
50,standard,carbon fiber,249.82,40.29,30.16,nimh,238,5.9
51,road,aluminum,672.14,29.5,31.07,nimh,269,8.26
52,folding,carbon fiber,259.73,87.8,20.66,lead acid,366,4.73
53,road,aluminum,518.76,54.87,32.84,li-ion,235,4.37
54,standard,carbon fiber,260.63,51.22,16.5,li-ion,276,3.89
55,road,carbon fiber,536.77,55.65,19.74,lead acid,234,9.22
56,standard,carbon fiber,501.05,59.57,30.36,lead acid,282,6.35
57,mountain,carbon fiber,480.64,35.95,28.5,nimh,327,1.91
58,mountain,steel,587.49,67.5,28.57,lead acid,311,9.1
59,folding,steel,276.24,70.54,21.65,nimh,256,5.94
60,mountain,carbon fiber,298.75,66.91,24.35,lead acid,306,5.87
61,standard,steel,597.1,50.74,20.41,nimh,180,6.36
62,road,carbon fiber,417.01,86.38,25.0,li-ion,217,8.15
63,folding,carbon fiber,584.49,73.12,29.06,li-ion,242,7.59
64,standard,steel,425.71,36.21,24.96,nimh,177,5.44
65,folding,aluminum,647.22,66.36,23.22,lead acid,314,5.83
66,standard,aluminum,569.78,51.34,25.0,lead acid,157,5.21
67,folding,aluminum,317.66,54.67,25.57,li-ion,318,4.95
